Array;Source Name;Cell_line;ClustGroup
5500994158987071513201_A10.cel;J132_EPA10P7_OAW-42_Ovary_910548;OAW-42;2
5500994172383112813930_A10.cel;J132_EPA10P8_OCI-M1_Blood_1330985;OCI-M1;7
5500994172948120113978_A10.cel;J132_EPA10P9_VMRC-LCD_Lung:NSCLC_713869;VMRC-LCD;6
5500994157493061613625_A11.cel;J132_EPA11P1_ETK-1_Biliary_906861;ETK-1;2
5500994158987071513209_A11.cel;J132_EPA11P2_DK-MG_Brain_906839;DK-MG;4
5500994172383112813929_A11.cel;J132_EPA11P3_HCC202_Breast_1290906;HCC202;6
5500994158987071513207_A11.cel;J132_EPA11P5_SNU-182_Liver_1240216;SNU-182;2
5500994158987071513201_A11.cel;J132_EPA11P7_OE33_Esophagus_910549;OE33;2
5500994172383112813930_A11.cel;J132_EPA11P8_NCI-H1666_Lung:NSCLC_908473;NCI-H1666;1
5500994172948120113978_A11.cel;J132_EPA11P9_OVCA420_Ovary_1480364;OVCA420;2
5500994157493061613625_A12.cel;J132_EPA12P1_C32_Skin_906830;C32;3
5500994158987071513209_A12.cel;J132_EPA12P2_EGI-1_Liver_906853;EGI-1;2
5500994172383112813929_A12.cel;J132_EPA12P3_HCC1500_Breast_1303900;HCC1500;6
5500994158987071513202_A12.cel;J132_EPA12P4_MONO-MAC-1_Blood_1330955;MONO-MAC-1;7
5500994158987071513207_A12.cel;J132_EPA12P5_SK-N-SH_Brain_717431;SK-N-SH;5
5500994172383112813928_A12.cel;J132_EPA12P6_JHH-2_Liver_1240157;JHH-2;4
5500994158987071513201_A12.cel;J132_EPA12P7_OVCAR-8_Ovary_905991;OVCAR-8;2
5500994172383112813930_A12.cel;J132_EPA12P8_SW1710_Bladder_909749;SW1710;4
5500994172948120113978_A12.cel;J132_EPA12P9_BL-41_haematopoietic_and_lymphoid_tissue_910706;BL-41;8
5500994173212120213068_B01.cel;J132_EPB01P10_TE-441-T_soft_tissue_924248;TE-441-T;5
5500994157493061613625_B01.cel;J132_EPB01P1_SW1783_CNS_909750;SW1783;4
5500994158987071513209_B01.cel;J132_EPB01P2_23132-87_Stomach_910924;23132-87;2
5500994172383112813929_B01.cel;J132_EPB01P3_ES7_Bone_684059;ES7;5
5500994158987071513207_B01.cel;J132_EPB01P5_MS-1_Lung_753594;MS-1;6
5500994172383112813928_B01.cel;J132_EPB01P6_MDA-MB-231_Breast_905960;MDA-MB-231;4
5500994158987071513201_B01.cel;J132_EPB01P7_Ramos-2G6-4C10_Blood_910401;Ramos-2G6-4C10;8
5500994172383112813930_B01.cel;J132_EPB01P8_NCI-H1650_Lung:NSCLC_687800;NCI-H1650;2
5500994172948120113978_B01.cel;J132_EPB01P9_UWB1.289_Ovary_1480374;UWB1.289;2
5500994173212120213068_B02.cel;J132_EPB02P10_SNU-175_large_intestine_1659928;SNU-175;2
5500994157493061613625_B02.cel;J132_EPB02P1_H2810_Lung_1240137;H2810;4
5500994172383112813929_B02.cel;J132_EPB02P3_AMO-1_Blood_1295741;AMO-1;8
5500994158987071513202_B02.cel;J132_EPB02P4_KY821_Blood_907300;KY821;7
5500994158987071513207_B02.cel;J132_EPB02P5_MZ2-MEL_Skin_971777;MZ2-MEL;3
5500994172383112813928_B02.cel;J132_EPB02P6_SHP-77_Lung_724872;SHP-77;6
5500994158987071513201_B02.cel;J132_EPB02P7_RCC-JW_Kidney_1524416;RCC-JW;4
5500994172383112813930_B02.cel;J132_EPB02P8_NCI-H2405_Lung:NSCLC_687821;NCI-H2405;2
5500994172948120113978_B02.cel;J132_EPB02P9_COR-L32_Lung_1322212;COR-L32;6
5500994173212120213068_B03.cel;J132_EPB03P10_SF295_Brain_905985;SF295;4
5500994157493061613625_B03.cel;J132_EPB03P1_DSH1_Bladder_753552;DSH1;2
5500994158987071513209_B03.cel;J132_EPB03P2_ACHN_Kidney_905950;ACHN;4
5500994172383112813929_B03.cel;J132_EPB03P3_A2780_Ovary_906804;A2780;5
5500994158987071513202_B03.cel;J132_EPB03P4_KATOIII_Stomach_907276;KATOIII;2
5500994158987071513207_B03.cel;J132_EPB03P5_MOLM-13_Blood_1330947;MOLM-13;7
5500994172383112813928_B03.cel;J132_EPB03P6_SK-ES-1_Bone_684072;SK-ES-1;5
5500994158987071513201_B03.cel;J132_EPB03P7_RH-18_Muscle_971774;RH-18;5
5500994172383112813930_B03.cel;J132_EPB03P8_NCI-H2029_Lung_688011;NCI-H2029;6
5500994172948120113978_B03.cel;J132_EPB03P9_NCI-H1341_Lung_1330964;NCI-H1341;5
5500994173212120213068_B04.cel;J132_EPB04P10_AsPC-1_Pancreas_910702;AsPC-1;2
5500994157493061613625_B04.cel;J132_EPB04P1_HT-1197_Bladder_907065;HT-1197;2
5500994158987071513209_B04.cel;J132_EPB04P2_BE-13_Blood_906763;BE-13;7
5500994158987071513202_B04.cel;J132_EPB04P4_KE-37_Blood_907277;KE-37;7
5500994158987071513207_B04.cel;J132_EPB04P5_U-698-M_Blood_909777;U-698-M;8
5500994172383112813928_B04.cel;J132_EPB04P6_KYM-1_Muscle_1240166;KYM-1;2
5500994158987071513201_B04.cel;J132_EPB04P7_RT4_Bladder_687455;RT4;2
5500994172383112813930_B04.cel;J132_EPB04P8_NCI-H322M_Lung_905967;NCI-H322M;2
5500994172948120113978_B04.cel;J132_EPB04P9_Farage_Blood_1297449;Farage;8
5500994173212120213068_B05.cel;J132_EPB05P10_KYSE-180_Esophagus_907318;KYSE-180;2
5500994157493061613625_B05.cel;J132_EPB05P1_MDA-MB-157_Breast_925338;MDA-MB-157;6
5500994158987071513209_B05.cel;J132_EPB05P2_BHT-101_Thyroid_906696;BHT-101;4
5500994172383112813929_B05.cel;J132_EPB05P3_DEL_Blood_906836;DEL;8
