Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994172383112813930_E03.cel;6;NCI-H520;lung;lung_NSCLC_squamous_cell_carcinoma;NCI-H520_Lung:NSCLC_908443;LUSC
5500994172383112813930_E03.cel;6;NCI-H520;lung;lung_NSCLC_squamous_cell_carcinoma;NCI-H520_Lung:NSCLC_908443;LUSC
5500994172948120113978_D02.cel;6;NCI-H524;lung;lung_small_cell_carcinoma;NCI-H524_lung_908483;SCLC
5500994172948120113978_D02.cel;6;NCI-H524;lung;lung_small_cell_carcinoma;NCI-H524_lung_908483;SCLC
5500994172383112813930_E04.cel;6;NCI-H526;lung;lung_small_cell_carcinoma;NCI-H526_Lung_688025;SCLC
5500994172383112813930_E04.cel;6;NCI-H526;lung;lung_small_cell_carcinoma;NCI-H526_Lung_688025;SCLC
5500994172383112813930_F04.cel;6;NCI-H64;lung;lung_small_cell_carcinoma;NCI-H64_Lung_688026;SCLC
5500994172383112813930_F04.cel;6;NCI-H64;lung;lung_small_cell_carcinoma;NCI-H64_Lung_688026;SCLC
5500994172383112813930_F05.cel;6;NCI-H69;lung;lung_small_cell_carcinoma;NCI-H69_Lung_688027;SCLC
5500994172383112813930_F05.cel;6;NCI-H69;lung;lung_small_cell_carcinoma;NCI-H69_Lung_688027;SCLC
5500994175999120813240_E09.cel;6;NCI-H720;lung;lung_NSCLC_carcinoid;NCI-H720_lung_687600;UNCLASSIFIED
5500994175999120813240_E09.cel;6;NCI-H720;lung;lung_NSCLC_carcinoid;NCI-H720_lung_687600;UNCLASSIFIED
5500994157493061613625_D08.cel;6;NCI-H727;lung;lung_NSCLC_carcinoid;NCI-H727_Lung_724855;UNCLASSIFIED
5500994157493061613625_D08.cel;6;NCI-H727;lung;lung_NSCLC_carcinoid;NCI-H727_Lung_724855;UNCLASSIFIED
5500994173212120213068_C08.cel;6;NCI-H748;lung;lung_small_cell_carcinoma;NCI-H748_lung_909194;SCLC
5500994172383112813930_A05.cel;6;NCI-H810;lung;lung_NSCLC_large_cell;NCI-H810_Lung:NSCLC_925341;UNCLASSIFIED
5500994172383112813930_A05.cel;6;NCI-H810;lung;lung_NSCLC_large_cell;NCI-H810_Lung:NSCLC_925341;UNCLASSIFIED
5500994172383112813930_G05.cel;6;NCI-H82;lung;lung_small_cell_carcinoma;NCI-H82_Lung_688031;SCLC
5500994172383112813930_G05.cel;6;NCI-H82;lung;lung_small_cell_carcinoma;NCI-H82_Lung_688031;SCLC
5500994172383112813930_H04.cel;6;NCI-H835;lung;lung_NSCLC_carcinoid;NCI-H835_Lung_753607;UNCLASSIFIED
5500994172383112813930_H04.cel;6;NCI-H835;lung;lung_NSCLC_carcinoid;NCI-H835_Lung_753607;UNCLASSIFIED
5500994172948120113978_C10.cel;6;NCI-H847;lung;lung_small_cell_carcinoma;NCI-H847_Lung_1240193;SCLC
5500994172948120113978_C10.cel;6;NCI-H847;lung;lung_small_cell_carcinoma;NCI-H847_Lung_1240193;SCLC
5500994158987071513201_G10.cel;6;OCUB-M;breast;breast;OCUB-M_Breast_909256;BRCA
5500994158987071513201_G10.cel;6;OCUB-M;breast;breast;OCUB-M_Breast_909256;BRCA
5500994158987071513201_D10.cel;6;QGP-1;pancreas;pancreas;QGP-1_Pancreas_1298534;UNCLASSIFIED
5500994158987071513201_D10.cel;6;QGP-1;pancreas;pancreas;QGP-1_Pancreas_1298534;UNCLASSIFIED
5500994158987071513207_F06.cel;6;SBC-1;lung;lung_small_cell_carcinoma;SBC-1_Lung_713885;SCLC
5500994172383112813930_B12.cel;6;SCH;digestive_system;stomach;SCH_Stomach_909711;UNCLASSIFIED
5500994172383112813928_B02.cel;6;SHP-77;lung;lung_small_cell_carcinoma;SHP-77_Lung_724872;SCLC
5500994172383112813928_B02.cel;6;SHP-77;lung;lung_small_cell_carcinoma;SHP-77_Lung_724872;SCLC
