Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994172948120113978_G02.cel;7;MHH-CALL-2;blood;B_cell_leukemia;MHH-CALL-2_haematopoietic_and_lymphoid_tissue_908132;UNCLASSIFIED
5500994158987071513207_E01.cel;7;ML-2;blood;acute_myeloid_leukaemia;ML-2_Blood_908141;LAML
5500994158987071513207_E01.cel;7;ML-2;blood;acute_myeloid_leukaemia;ML-2_Blood_908141;LAML
5500994158987071513207_B03.cel;7;MOLM-13;blood;acute_myeloid_leukaemia;MOLM-13_Blood_1330947;LAML
5500994158987071513207_B03.cel;7;MOLM-13;blood;acute_myeloid_leukaemia;MOLM-13_Blood_1330947;LAML
5500994175999120813240_B07.cel;7;MOLM-16;blood;acute_myeloid_leukaemia;MOLM-16_haematopoietic_and_lymphoid_tissue_1330948;LAML
5500994158987071513202_F11.cel;7;MOLT-13;blood;lymphoblastic_T_cell_leukaemia;MOLT-13_Blood_908146;ALL
5500994158987071513202_F11.cel;7;MOLT-13;blood;lymphoblastic_T_cell_leukaemia;MOLT-13_Blood_908146;ALL
5500994158987071513202_E11.cel;7;MOLT-16;blood;lymphoblastic_T_cell_leukaemia;MOLT-16_Blood_908147;ALL
5500994158987071513202_E11.cel;7;MOLT-16;blood;lymphoblastic_T_cell_leukaemia;MOLT-16_Blood_908147;ALL
5500994158987071513207_C03.cel;7;MOLT-4;blood;lymphoblastic_leukemia;MOLT-4_Blood_905958;ALL
5500994158987071513207_C03.cel;7;MOLT-4;blood;lymphoblastic_leukemia;MOLT-4_Blood_905958;ALL
5500994158987071513202_G11.cel;7;MONO-MAC-6;blood;acute_myeloid_leukaemia;MONO-MAC-6_Blood_908148;LAML
5500994158987071513202_G11.cel;7;MONO-MAC-6;blood;acute_myeloid_leukaemia;MONO-MAC-6_Blood_908148;LAML
5500994158987071513207_C01.cel;7;MV-4-11;blood;leukemia;MV-4-11_Blood_908156;UNCLASSIFIED
5500994158987071513207_C01.cel;7;MV-4-11;blood;leukemia;MV-4-11_Blood_908156;UNCLASSIFIED
5500994172383112813930_C06.cel;7;NALM-6;blood;B_cell_leukemia;NALM-6_Blood_908158;UNCLASSIFIED
5500994172383112813930_C06.cel;7;NALM-6;blood;B_cell_leukemia;NALM-6_Blood_908158;UNCLASSIFIED
5500994172948120113978_G06.cel;7;NB4;blood;acute_myeloid_leukaemia;NB4_haematopoietic_and_lymphoid_tissue_1323913;LAML
5500994172383112813930_E07.cel;7;NKM-1;blood;acute_myeloid_leukaemia;NKM-1_Blood_908448;LAML
5500994172383112813930_E07.cel;7;NKM-1;blood;acute_myeloid_leukaemia;NKM-1_Blood_908448;LAML
5500994172383112813930_F07.cel;7;NOMO-1;blood;acute_myeloid_leukaemia;NOMO-1_Blood_908451;LAML
5500994172383112813930_F07.cel;7;NOMO-1;blood;acute_myeloid_leukaemia;NOMO-1_Blood_908451;LAML
5500994158987071513201_B10.cel;7;OCI-AML2;blood;acute_myeloid_leukaemia;OCI-AML2_Blood_910947;LAML
5500994158987071513201_B10.cel;7;OCI-AML2;blood;acute_myeloid_leukaemia;OCI-AML2_Blood_910947;LAML
5500994175999120813240_B08.cel;7;OCI-AML3;blood;acute_myeloid_leukaemia;OCI-AML3_haematopoietic_and_lymphoid_tissue_1290455;LAML
5500994175999120813240_B08.cel;7;OCI-AML3;blood;acute_myeloid_leukaemia;OCI-AML3_haematopoietic_and_lymphoid_tissue_1290455;LAML
5500994172383112813930_C10.cel;7;OCI-AML5;blood;acute_myeloid_leukaemia;OCI-AML5_Blood_1330983;LAML
5500994173212120213068_H07.cel;7;OCI-AML5;blood;acute_myeloid_leukaemia;OCI-AML5_Blood_1330983;LAML
5500994172383112813930_C10.cel;7;OCI-AML5;blood;acute_myeloid_leukaemia;OCI-AML5_Blood_1330983;LAML
5500994173212120213068_H07.cel;7;OCI-AML5;blood;acute_myeloid_leukaemia;OCI-AML5_Blood_1330983;LAML
5500994172383112813930_A10.cel;7;OCI-M1;blood;acute_myeloid_leukaemia;OCI-M1_Blood_1330985;LAML
5500994172383112813930_A10.cel;7;OCI-M1;blood;acute_myeloid_leukaemia;OCI-M1_Blood_1330985;LAML
5500994158987071513201_F04.cel;7;P12-ICHIKAWA;blood;lymphoblastic_T_cell_leukaemia;P12-ICHIKAWA_Blood_909251;ALL
5500994158987071513201_F04.cel;7;P12-ICHIKAWA;blood;lymphoblastic_T_cell_leukaemia;P12-ICHIKAWA_Blood_909251;ALL
5500994158987071513201_G04.cel;7;P30-OHK;blood;lymphoblastic_leukemia;P30-OHK_Blood_909252;ALL
5500994158987071513201_G04.cel;7;P30-OHK;blood;lymphoblastic_leukemia;P30-OHK_Blood_909252;ALL
5500994173212120213068_G07.cel;7;P31-FUJ;blood;acute_myeloid_leukaemia;P31-FUJ_Blood_909253;LAML
5500994173212120213068_G07.cel;7;P31-FUJ;blood;acute_myeloid_leukaemia;P31-FUJ_Blood_909253;LAML
5500994158987071513201_C06.cel;7;PF-382;blood;lymphoblastic_T_cell_leukaemia;PF-382_Blood_909260;ALL
5500994158987071513201_C06.cel;7;PF-382;blood;lymphoblastic_T_cell_leukaemia;PF-382_Blood_909260;ALL
5500994158987071513201_F12.cel;7;PL-21;blood;acute_myeloid_leukaemia;PL-21_Blood_1330991;LAML
5500994175999120813240_D04.cel;7;RCH-ACV;blood;B_cell_leukemia;RCH-ACV_haematopoietic_and_lymphoid_tissue_1330994;UNCLASSIFIED
5500994158987071513201_A02.cel;7;REH;blood;B_cell_leukemia;REH_Blood_909696;UNCLASSIFIED
5500994158987071513201_A02.cel;7;REH;blood;B_cell_leukemia;REH_Blood_909696;UNCLASSIFIED
5500994172948120113978_D05.cel;7;RPMI-8402;blood;lymphoblastic_T_cell_leukaemia;RPMI-8402_haematopoietic_and_lymphoid_tissue_909702;ALL
5500994172948120113978_D05.cel;7;RPMI-8402;blood;lymphoblastic_T_cell_leukaemia;RPMI-8402_haematopoietic_and_lymphoid_tissue_909702;ALL
5500994157493061613625_D07.cel;7;RS4-11;blood;leukemia;RS4-11_Blood_909703;ALL
5500994157493061613625_D07.cel;7;RS4-11;blood;leukemia;RS4-11_Blood_909703;ALL
5500994173212120213068_A03.cel;7;SIG-M5;blood;acute_myeloid_leukaemia;SIG-M5_Blood_909715;LAML
5500994172383112813928_G04.cel;7;SKM-1;blood;haematopoietic_neoplasm_other;SKM-1_Blood_909722;UNCLASSIFIED
5500994172383112813928_G04.cel;7;SKM-1;blood;haematopoietic_neoplasm_other;SKM-1_Blood_909722;UNCLASSIFIED
5500994158987071513207_D10.cel;7;SUP-B15;blood;lymphoblastic_leukemia;SUP-B15_Blood_1247871;ALL
5500994158987071513207_D10.cel;7;SUP-B15;blood;lymphoblastic_leukemia;SUP-B15_Blood_1247871;ALL
5500994172383112813928_A03.cel;7;SUP-T1;blood;lymphoblastic_T_cell_leukaemia;SUP-T1_Blood_909743;ALL
5500994172383112813928_A03.cel;7;SUP-T1;blood;lymphoblastic_T_cell_leukaemia;SUP-T1_Blood_909743;ALL
5500994158987071513207_D08.cel;7;THP-1;blood;acute_myeloid_leukaemia;THP-1_Blood_909771;LAML
5500994158987071513207_G08.cel;7;TUR;blood;B_cell_lymphoma;TUR_Blood_909773;DLBC
5500994158987071513207_G08.cel;7;TUR;blood;B_cell_lymphoma;TUR_Blood_909773;DLBC
5500994173212120213068_C03.cel;8;A3-KAW;blood;B_cell_lymphoma;A3-KAW_Blood_910935;DLBC
5500994173212120213068_C03.cel;8;A3-KAW;blood;B_cell_lymphoma;A3-KAW_Blood_910935;DLBC
5500994158987071513209_E02.cel;8;A4-Fuk;blood;B_cell_lymphoma;A4-Fuk_Skin_910934;DLBC
5500994158987071513209_E02.cel;8;A4-Fuk;blood;B_cell_lymphoma;A4-Fuk_Skin_910934;DLBC
5500994172383112813929_B02.cel;8;AMO-1;blood;haematopoietic_neoplasm_other;AMO-1_Blood_1295741;MM
5500994172383112813929_B02.cel;8;AMO-1;blood;haematopoietic_neoplasm_other;AMO-1_Blood_1295741;MM
5500994158987071513209_E03.cel;8;ARH-77;blood;myeloma;ARH-77_Blood_906765;MM
5500994158987071513209_E03.cel;8;ARH-77;blood;myeloma;ARH-77_Blood_906765;MM
5500994158987071513209_F03.cel;8;ATN-1;blood;lymphoblastic_T_cell_leukaemia;ATN-1_Blood_910687;ALL
5500994158987071513209_F03.cel;8;ATN-1;blood;lymphoblastic_T_cell_leukaemia;ATN-1_Blood_910687;ALL
5500994158987071513209_G03.cel;8;BALL-1;blood;B_cell_leukemia;BALL-1_Blood_910705;UNCLASSIFIED
5500994158987071513209_G03.cel;8;BALL-1;blood;B_cell_leukemia;BALL-1_Blood_910705;UNCLASSIFIED
5500994158987071513209_H03.cel;8;BC-1;blood;B_cell_lymphoma;BC-1_Blood_910919;DLBC
5500994158987071513209_H03.cel;8;BC-1;blood;B_cell_lymphoma;BC-1_Blood_910919;DLBC
5500994172948120113978_A12.cel;8;BL-41;blood;Burkitt_lymphoma;BL-41_haematopoietic_and_lymphoid_tissue_910706;UNCLASSIFIED
5500994172948120113978_A12.cel;8;BL-41;blood;Burkitt_lymphoma;BL-41_haematopoietic_and_lymphoid_tissue_910706;UNCLASSIFIED
5500994158987071513209_F07.cel;8;CA46;blood;Burkitt_lymphoma;CA46_Blood_910703;UNCLASSIFIED
5500994158987071513209_F07.cel;8;CA46;blood;Burkitt_lymphoma;CA46_Blood_910703;UNCLASSIFIED
5500994157493061613625_A07.cel;8;CESS;blood;acute_myeloid_leukaemia;CESS_Blood_910688;LAML
5500994157493061613625_A07.cel;8;CESS;blood;acute_myeloid_leukaemia;CESS_Blood_910688;LAML
5500994158987071513209_A10.cel;8;CRO-AP2;blood;B_cell_lymphoma;CRO-AP2_Blood_906807;DLBC
5500994172383112813929_H04.cel;8;CTB-1;blood;B_cell_lymphoma;CTB-1_Blood_949088;DLBC
5500994158987071513209_F11.cel;8;DB;blood;B_cell_lymphoma;DB_Blood_906832;DLBC
5500994158987071513209_F11.cel;8;DB;blood;B_cell_lymphoma;DB_Blood_906832;DLBC
5500994172383112813929_B05.cel;8;DEL;blood;lymphoid_neoplasm_other;DEL_Blood_906836;UNCLASSIFIED
5500994172383112813929_B05.cel;8;DEL;blood;lymphoid_neoplasm_other;DEL_Blood_906836;UNCLASSIFIED
5500994158987071513209_G10.cel;8;DG-75;blood;Burkitt_lymphoma;DG-75_Blood_906838;UNCLASSIFIED
5500994158987071513209_G10.cel;8;DG-75;blood;Burkitt_lymphoma;DG-75_Blood_906838;UNCLASSIFIED
5500994172383112813929_H05.cel;8;DOHH-2;blood;B_cell_lymphoma;DOHH-2_Blood_906842;DLBC
5500994172383112813929_H05.cel;8;DOHH-2;blood;B_cell_lymphoma;DOHH-2_Blood_906842;DLBC
5500994175999120813240_B02.cel;8;Daudi;blood;Burkitt_lymphoma;Daudi_haematopoietic_and_lymphoid_tissue_906831;UNCLASSIFIED
5500994175999120813240_B02.cel;8;Daudi;blood;Burkitt_lymphoma;Daudi_haematopoietic_and_lymphoid_tissue_906831;UNCLASSIFIED
5500994172383112813929_E01.cel;8;EB-3;blood;Burkitt_lymphoma;EB-3_Blood_906847;UNCLASSIFIED
5500994172383112813929_E01.cel;8;EB-3;blood;Burkitt_lymphoma;EB-3_Blood_906847;UNCLASSIFIED
5500994172383112813929_H01.cel;8;EB2;blood;Burkitt_lymphoma;EB2_Blood_906846;UNCLASSIFIED
5500994172383112813929_H01.cel;8;EB2;blood;Burkitt_lymphoma;EB2_Blood_906846;UNCLASSIFIED
5500994172383112813929_F07.cel;8;EHEB;blood;lymphoid_neoplasm_other;EHEB_Blood_906854;CLL
5500994172948120113978_E01.cel;8;EJM;blood;lymphoid_neoplasm_other;EJM_Blood_1297447;MM
5500994172948120113978_E01.cel;8;EJM;blood;lymphoid_neoplasm_other;EJM_Blood_1297447;MM
5500994172948120113978_B04.cel;8;Farage;blood;B_cell_lymphoma;Farage_Blood_1297449;DLBC
5500994172948120113978_B04.cel;8;Farage;blood;B_cell_lymphoma;Farage_Blood_1297449;DLBC
5500994157493061613625_C11.cel;8;GA-10;blood;Burkitt_lymphoma;GA-10_Blood_1303896;UNCLASSIFIED
5500994157493061613625_C11.cel;8;GA-10;blood;Burkitt_lymphoma;GA-10_Blood_1303896;UNCLASSIFIED
5500994158987071513202_E10.cel;8;GR-ST;blood;lymphoblastic_leukemia;GR-ST_Blood_906877;ALL
5500994158987071513202_E10.cel;8;GR-ST;blood;lymphoblastic_leukemia;GR-ST_Blood_906877;ALL
5500994175999120813240_D06.cel;8;GRANTA-519;blood;B_cell_lymphoma;GRANTA-519_haematopoietic_and_lymphoid_tissue_1303897;DLBC
5500994175999120813240_D06.cel;8;GRANTA-519;blood;B_cell_lymphoma;GRANTA-519_haematopoietic_and_lymphoid_tissue_1303897;DLBC
5500994175999120813240_H03.cel;8;HC-1;blood;hairy_cell_leukaemia;HC-1_haematopoietic_and_lymphoid_tissue_907044;UNCLASSIFIED
5500994175999120813240_H03.cel;8;HC-1;blood;hairy_cell_leukaemia;HC-1_haematopoietic_and_lymphoid_tissue_907044;UNCLASSIFIED
5500994157493061613625_B08.cel;8;HDLM-2;blood;Hodgkin_lymphoma;HDLM-2_Blood_924110;UNCLASSIFIED
5500994157493061613625_B08.cel;8;HDLM-2;blood;Hodgkin_lymphoma;HDLM-2_Blood_924110;UNCLASSIFIED
5500994172383112813929_F11.cel;8;HH;blood;T_cell_leukemia;HH_Blood_907056;UNCLASSIFIED
5500994172383112813929_F11.cel;8;HH;blood;T_cell_leukemia;HH_Blood_907056;UNCLASSIFIED
5500994175999120813240_F08.cel;8;Hs-445;blood;Hodgkin_lymphoma;Hs-445_haematopoietic_and_lymphoid_tissue_1322218;UNCLASSIFIED
5500994175999120813240_F08.cel;8;Hs-445;blood;Hodgkin_lymphoma;Hs-445_haematopoietic_and_lymphoid_tissue_1322218;UNCLASSIFIED
5500994172383112813928_H04.cel;8;IM-9;blood;myeloma;IM-9_Blood_753563;MM
5500994172383112813928_H04.cel;8;IM-9;blood;myeloma;IM-9_Blood_753563;MM
5500994172383112813928_H10.cel;8;JEKO-1;blood;B_cell_lymphoma;JEKO-1_Blood_1327765;DLBC
5500994172383112813928_D10.cel;8;JJN-3;blood;haematopoietic_neoplasm_other;JJN-3_Blood_1327766;MM
5500994172383112813928_D10.cel;8;JJN-3;blood;haematopoietic_neoplasm_other;JJN-3_Blood_1327766;MM
5500994175999120813240_C03.cel;8;JM1;blood;B_cell_lymphoma;JM1_haematopoietic_and_lymphoid_tissue_1327768;DLBC
5500994172383112813928_C11.cel;8;JSC-1;blood;B_cell_lymphoma;JSC-1_Blood_1327769;DLBC
5500994172383112813928_C11.cel;8;JSC-1;blood;B_cell_lymphoma;JSC-1_Blood_1327769;DLBC
5500994175999120813240_A04.cel;8;JVM-2;blood;lymphoid_neoplasm_other;JVM-2_haematopoietic_and_lymphoid_tissue_907269;CLL
5500994175999120813240_A04.cel;8;JVM-2;blood;lymphoid_neoplasm_other;JVM-2_haematopoietic_and_lymphoid_tissue_907269;CLL
5500994172383112813928_B11.cel;8;JVM-3;blood;lymphoid_neoplasm_other;JVM-3_Blood_907270;CLL
5500994172383112813928_B11.cel;8;JVM-3;blood;lymphoid_neoplasm_other;JVM-3_Blood_907270;CLL
5500994172383112813928_E10.cel;8;JiyoyeP-2003;blood;Burkitt_lymphoma;JiyoyBlood_907268;UNCLASSIFIED
5500994172383112813928_E10.cel;8;JiyoyeP-2003;blood;Burkitt_lymphoma;JiyoyBlood_907268;UNCLASSIFIED
5500994175999120813240_E05.cel;8;KARPAS-1106P;blood;B_cell_lymphoma;KARPAS-1106P_haematopoietic_and_lymphoid_tissue_1327773;DLBC
5500994175999120813240_E05.cel;8;KARPAS-1106P;blood;B_cell_lymphoma;KARPAS-1106P_haematopoietic_and_lymphoid_tissue_1327773;DLBC
5500994158987071513202_C03.cel;8;KARPAS-231;blood;B_cell_leukemia;KARPAS-231_Blood_1327774;UNCLASSIFIED
5500994158987071513202_C03.cel;8;KARPAS-231;blood;B_cell_leukemia;KARPAS-231_Blood_1327774;UNCLASSIFIED
5500994172948120113978_B06.cel;8;KARPAS-299;blood;anaplastic_large_cell_lymphoma;KARPAS-299_haematopoietic_and_lymphoid_tissue_907273;UNCLASSIFIED
5500994172948120113978_B06.cel;8;KARPAS-299;blood;anaplastic_large_cell_lymphoma;KARPAS-299_haematopoietic_and_lymphoid_tissue_907273;UNCLASSIFIED
5500994172383112813928_F05.cel;8;KARPAS-422;blood;B_cell_lymphoma;KARPAS-422_Blood_907274;DLBC
5500994172383112813928_F05.cel;8;KARPAS-422;blood;B_cell_lymphoma;KARPAS-422_Blood_907274;DLBC
5500994158987071513202_H02.cel;8;KARPAS-620;blood;haematopoietic_neoplasm_other;KARPAS-620_Blood_1327775;MM
5500994158987071513202_H02.cel;8;KARPAS-620;blood;haematopoietic_neoplasm_other;KARPAS-620_Blood_1327775;MM
5500994172383112813928_A05.cel;8;KM-H2;blood;Hodgkin_lymphoma;KM-H2_Blood_909976;UNCLASSIFIED
5500994175999120813240_G11.cel;8;KM-H2;blood;Hodgkin_lymphoma;KM-H2_haematopoietic_and_lymphoid_tissue_909976;UNCLASSIFIED
5500994172383112813928_A05.cel;8;KM-H2;blood;Hodgkin_lymphoma;KM-H2_Blood_909976;UNCLASSIFIED
5500994175999120813240_G11.cel;8;KM-H2;blood;Hodgkin_lymphoma;KM-H2_haematopoietic_and_lymphoid_tissue_909976;UNCLASSIFIED
5500994175999120813240_F07.cel;8;KMS-11;blood;myeloma;KMS-11_pleural effusion_1659817;MM
5500994173212120213068_A05.cel;8;KMS-12-BM;blood;myeloma;KMS-12-BM_Blood_907281;MM
5500994173212120213068_A05.cel;8;KMS-12-BM;blood;myeloma;KMS-12-BM_Blood_907281;MM
5500994158987071513202_B06.cel;8;L-1236;blood;Hodgkin_lymphoma;L-1236_Blood_1330935;UNCLASSIFIED
5500994158987071513202_B06.cel;8;L-1236;blood;Hodgkin_lymphoma;L-1236_Blood_1330935;UNCLASSIFIED
5500994158987071513202_C06.cel;8;L-363;blood;myeloma;L-363_Blood_924239;MM
5500994158987071513202_C06.cel;8;L-363;blood;myeloma;L-363_Blood_924239;MM
5500994175999120813240_B01.cel;8;L-428;blood;Hodgkin_lymphoma;L-428_haematopoietic_and_lymphoid_tissue_907322;UNCLASSIFIED
5500994175999120813240_B01.cel;8;L-428;blood;Hodgkin_lymphoma;L-428_haematopoietic_and_lymphoid_tissue_907322;UNCLASSIFIED
5500994158987071513202_B08.cel;8;L-540;blood;Hodgkin_lymphoma;L-540_Blood_907323;UNCLASSIFIED
5500994158987071513202_B08.cel;8;L-540;blood;Hodgkin_lymphoma;L-540_Blood_907323;UNCLASSIFIED
5500994172948120113978_D01.cel;8;LP-1;blood;myeloma;LP-1_haematopoietic_and_lymphoid_tissue_907791;MM
5500994172948120113978_D01.cel;8;LP-1;blood;myeloma;LP-1_haematopoietic_and_lymphoid_tissue_907791;MM
5500994172948120113978_H03.cel;8;MC-CAR;blood;haematopoietic_neoplasm_other;MC-CAR_haematopoietic_and_lymphoid_tissue_683665;MM
5500994172948120113978_H03.cel;8;MC-CAR;blood;haematopoietic_neoplasm_other;MC-CAR_haematopoietic_and_lymphoid_tissue_683665;MM
5500994158987071513207_H02.cel;8;MC116;blood;B_cell_lymphoma;MC116_Blood_907799;DLBC
5500994158987071513207_E02.cel;8;MHH-PREB-1;blood;B_cell_leukemia;MHH-PREB-1_Blood_908136;UNCLASSIFIED
5500994158987071513207_E02.cel;8;MHH-PREB-1;blood;B_cell_leukemia;MHH-PREB-1_Blood_908136;UNCLASSIFIED
5500994172948120113978_F06.cel;8;MLMA;blood;hairy_cell_leukaemia;MLMA_haematopoietic_and_lymphoid_tissue_908142;UNCLASSIFIED
5500994172948120113978_F06.cel;8;MLMA;blood;hairy_cell_leukaemia;MLMA_haematopoietic_and_lymphoid_tissue_908142;UNCLASSIFIED
5500994173212120213068_H08.cel;8;MM1S;blood;myeloma;MM1S_haematopoietic_and_lymphoid_tissue_1659818;MM
5500994173212120213068_H08.cel;8;MM1S;blood;myeloma;MM1S_haematopoietic_and_lymphoid_tissue_1659818;MM
5500994175999120813240_E01.cel;8;MN-60;blood;B_cell_leukemia;MN-60_haematopoietic_and_lymphoid_tissue_908143;UNCLASSIFIED
5500994175999120813240_E01.cel;8;MN-60;blood;B_cell_leukemia;MN-60_haematopoietic_and_lymphoid_tissue_908143;UNCLASSIFIED
5500994172948120113978_C09.cel;8;MOLP-8;blood;myeloma;MOLP-8_Blood_1330950;MM
5500994172948120113978_C09.cel;8;MOLP-8;blood;myeloma;MOLP-8_Blood_1330950;MM
5500994158987071513202_H11.cel;8;Mo-T;blood;hairy_cell_leukaemia;Mo-T_Blood_908149;UNCLASSIFIED
5500994158987071513202_H11.cel;8;Mo-T;blood;hairy_cell_leukaemia;Mo-T_Blood_908149;UNCLASSIFIED
5500994172383112813930_E06.cel;8;NAMALWA;blood;Burkitt_lymphoma;NAMALWA_Blood_908159;UNCLASSIFIED
5500994172383112813930_E06.cel;8;NAMALWA;blood;Burkitt_lymphoma;NAMALWA_Blood_908159;UNCLASSIFIED
5500994172383112813930_E05.cel;8;NCI-H929;blood;myeloma;NCI-H929_Blood_724825;MM
5500994172383112813930_E05.cel;8;NCI-H929;blood;myeloma;NCI-H929_Blood_724825;MM
5500994172383112813930_B07.cel;8;NU-DUL-1;blood;B_cell_lymphoma;NU-DUL-1_Blood_1330982;DLBC
5500994172383112813930_B10.cel;8;OCI-LY-19;blood;B_cell_lymphoma;OCI-LY-19_Blood_1330984;DLBC
5500994175999120813240_G01.cel;8;OCI-LY7;blood;B_cell_lymphoma;OCI-LY7_haematopoietic_and_lymphoid_tissue_1659819;DLBC
5500994158987071513201_D11.cel;8;OPM-2;blood;myeloma;OPM-2_Blood_909249;MM
5500994158987071513201_D11.cel;8;OPM-2;blood;myeloma;OPM-2_Blood_909249;MM
5500994158987071513201_F06.cel;8;P32-ISH;blood;Burkitt_lymphoma;P32-ISH_Blood_1330987;UNCLASSIFIED
5500994158987071513201_F06.cel;8;P32-ISH;blood;Burkitt_lymphoma;P32-ISH_Blood_1330987;UNCLASSIFIED
5500994158987071513201_E04.cel;8;QIMR-WIL;blood;acute_myeloid_leukaemia;QIMR-WIL_Blood_910545;LAML
5500994158987071513201_C02.cel;8;RC-K8;blood;B_cell_lymphoma;RC-K8_Blood_1330995;DLBC
5500994158987071513201_C02.cel;8;RC-K8;blood;B_cell_lymphoma;RC-K8_Blood_1330995;DLBC
5500994158987071513201_F02.cel;8;RF-48;digestive_system;stomach;RF-48_Stomach_909697;STAD
5500994158987071513201_F02.cel;8;RF-48;digestive_system;stomach;RF-48_Stomach_909697;STAD
5500994158987071513201_C03.cel;8;RL;blood;B_cell_lymphoma;RL_Blood_910861;DLBC
5500994172948120113978_C05.cel;8;ROS-50;blood;B_cell_leukemia;ROS-50_Blood_1331025;UNCLASSIFIED
5500994158987071513201_G03.cel;8;RPMI-6666;blood;Hodgkin_lymphoma;RPMI-6666_Blood_909701;UNCLASSIFIED
5500994158987071513201_G03.cel;8;RPMI-6666;blood;Hodgkin_lymphoma;RPMI-6666_Blood_909701;UNCLASSIFIED
5500994158987071513201_H03.cel;8;RPMI-8226;blood;myeloma;RPMI-8226_Blood_905964;MM
5500994158987071513201_H03.cel;8;RPMI-8226;blood;myeloma;RPMI-8226_Blood_905964;MM
5500994158987071513201_A04.cel;8;RPMI-8866;blood;chronic_myeloid_leukaemia;RPMI-8866_Blood_910544;LCML
5500994158987071513201_A04.cel;8;RPMI-8866;blood;chronic_myeloid_leukaemia;RPMI-8866_Blood_910544;LCML
5500994173212120213068_B07.cel;8;Raji;blood;Burkitt_lymphoma;Raji_Blood_909262;UNCLASSIFIED
5500994173212120213068_B07.cel;8;Raji;blood;Burkitt_lymphoma;Raji_Blood_909262;UNCLASSIFIED
5500994158987071513201_B01.cel;8;Ramos-2G6-4C10;blood;Burkitt_lymphoma;Ramos-2G6-4C10_Blood_910401;UNCLASSIFIED
5500994158987071513201_B01.cel;8;Ramos-2G6-4C10;blood;Burkitt_lymphoma;Ramos-2G6-4C10_Blood_910401;UNCLASSIFIED
5500994172383112813930_G09.cel;8;SCC-3;blood;B_cell_lymphoma;SCC-3_Blood_910930;DLBC
5500994172383112813930_G09.cel;8;SCC-3;blood;B_cell_lymphoma;SCC-3_Blood_910930;DLBC
5500994172383112813928_E09.cel;8;SK-MM-2;blood;myeloma;SK-MM-2_Blood_753612;MM
5500994172383112813928_E09.cel;8;SK-MM-2;blood;myeloma;SK-MM-2_Blood_753612;MM
5500994158987071513207_B09.cel;8;SLVL;blood;B_cell_lymphoma;SLVL_Blood_1331032;DLBC
5500994158987071513207_B09.cel;8;SLVL;blood;B_cell_lymphoma;SLVL_Blood_1331032;DLBC
5500994172383112813928_E02.cel;8;SR;blood;lymphoid_neoplasm_other;SR_Blood_905965;UNCLASSIFIED
5500994172383112813928_E02.cel;8;SR;blood;lymphoid_neoplasm_other;SR_Blood_905965;UNCLASSIFIED
5500994158987071513207_D12.cel;8;ST486;blood;Burkitt_lymphoma;ST486_Blood_910906;UNCLASSIFIED
5500994158987071513207_D12.cel;8;ST486;blood;Burkitt_lymphoma;ST486_Blood_910906;UNCLASSIFIED
5500994158987071513207_H11.cel;8;SU-DHL-1;blood;anaplastic_large_cell_lymphoma;SU-DHL-1_Blood_909742;UNCLASSIFIED
5500994158987071513207_H09.cel;8;SU-DHL-10;blood;B_cell_lymphoma;SU-DHL-10_Blood_1331033;DLBC
5500994158987071513207_H09.cel;8;SU-DHL-10;blood;B_cell_lymphoma;SU-DHL-10_Blood_1331033;DLBC
5500994175999120813240_D05.cel;8;SU-DHL-16;blood;B_cell_lymphoma;SU-DHL-16_haematopoietic_and_lymphoid_tissue_1331034;DLBC
5500994172383112813930_G11.cel;8;SU-DHL-4;blood;B_cell_lymphoma;SU-DHL-4_Blood_1331035;DLBC
5500994173212120213068_F01.cel;8;SU-DHL-5;blood;B_cell_lymphoma;SU-DHL-5_Blood_1331036;DLBC
5500994173212120213068_F01.cel;8;SU-DHL-5;blood;B_cell_lymphoma;SU-DHL-5_Blood_1331036;DLBC
5500994172948120113978_F10.cel;8;SU-DHL-6;blood;B_cell_lymphoma;SU-DHL-6_Blood_1331037;DLBC
5500994172948120113978_F10.cel;8;SU-DHL-6;blood;B_cell_lymphoma;SU-DHL-6_Blood_1331037;DLBC
5500994158987071513207_E09.cel;8;SU-DHL-8;blood;B_cell_lymphoma;SU-DHL-8_Blood_1331038;DLBC
5500994158987071513207_E09.cel;8;SU-DHL-8;blood;B_cell_lymphoma;SU-DHL-8_Blood_1331038;DLBC
5500994172383112813928_H02.cel;8;SUP-B8;blood;B_cell_leukemia;SUP-B8_Blood_910209;UNCLASSIFIED
5500994172948120113978_D10.cel;8;SUP-HD1;blood;Hodgkin_lymphoma;SUP-HD1_Blood_1331039;UNCLASSIFIED
5500994172948120113978_D10.cel;8;SUP-HD1;blood;Hodgkin_lymphoma;SUP-HD1_Blood_1331039;UNCLASSIFIED
5500994173212120213068_D01.cel;8;SUP-M2;blood;anaplastic_large_cell_lymphoma;SUP-M2_Blood_1331040;UNCLASSIFIED
5500994173212120213068_D01.cel;8;SUP-M2;blood;anaplastic_large_cell_lymphoma;SUP-M2_Blood_1331040;UNCLASSIFIED
5500994175999120813240_A05.cel;8;TK;blood;B_cell_lymphoma;TK_haematopoietic_and_lymphoid_tissue_1331045;DLBC
5500994175999120813240_A05.cel;8;TK;blood;B_cell_lymphoma;TK_haematopoietic_and_lymphoid_tissue_1331045;DLBC
