Cell_line;Tissue sub-type;Count;
NCI-H2085;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2085;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2087;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2087;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H209;SCLC;lung;lung_small_cell_carcinoma
NCI-H209;SCLC;lung;lung_small_cell_carcinoma
NCI-H211;SCLC;lung;lung_small_cell_carcinoma
NCI-H211;SCLC;lung;lung_small_cell_carcinoma
NCI-H2110;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H2122;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2122;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2135;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H2135;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H2141;SCLC;lung;lung_small_cell_carcinoma
NCI-H2141;SCLC;lung;lung_small_cell_carcinoma
NCI-H2170;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H2170;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H2171;SCLC;lung;lung_small_cell_carcinoma
NCI-H2172;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H2196;SCLC;lung;lung_small_cell_carcinoma
NCI-H2227;SCLC;lung;lung_small_cell_carcinoma
NCI-H2227;SCLC;lung;lung_small_cell_carcinoma
NCI-H2228;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2228;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H226;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H226;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H2291;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H23;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H23;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2342;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2342;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2347;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2347;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2369;MESO;lung;mesothelioma
NCI-H2369;MESO;lung;mesothelioma
NCI-H2373;MESO;lung;mesothelioma
NCI-H2373;MESO;lung;mesothelioma
NCI-H2405;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2405;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2444;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H2452;MESO;lung;mesothelioma
NCI-H2452;MESO;lung;mesothelioma
NCI-H2461;MESO;lung;mesothelioma
NCI-H2461;MESO;lung;mesothelioma
NCI-H250;SCLC;lung;lung_small_cell_carcinoma
NCI-H250;SCLC;lung;lung_small_cell_carcinoma
NCI-H2591;MESO;lung;mesothelioma
NCI-H2591;MESO;lung;mesothelioma
NCI-H2595;MESO;lung;mesothelioma
NCI-H2595;MESO;lung;mesothelioma
NCI-H2722;MESO;lung;mesothelioma
NCI-H2722;MESO;lung;mesothelioma
NCI-H2731;MESO;lung;mesothelioma
NCI-H2731;MESO;lung;mesothelioma
NCI-H2795;MESO;lung;mesothelioma
NCI-H2795;MESO;lung;mesothelioma
NCI-H28;MESO;lung;mesothelioma
NCI-H28;MESO;lung;mesothelioma
NCI-H2803;MESO;lung;mesothelioma
NCI-H2803;MESO;lung;mesothelioma
NCI-H2804;MESO;lung;mesothelioma
NCI-H2804;MESO;lung;mesothelioma
NCI-H2810;MESO;lung;mesothelioma
NCI-H2810;MESO;lung;mesothelioma
NCI-H2818;MESO;lung;mesothelioma
NCI-H2818;MESO;lung;mesothelioma
NCI-H2869;MESO;lung;mesothelioma
NCI-H2869;MESO;lung;mesothelioma
NCI-H290;MESO;lung;mesothelioma
NCI-H292;UNCLASSIFIED;lung;lung_NSCLC_adenocarcinoma
NCI-H3118;UNCLASSIFIED;aero_digestive_tract;head_and_neck
NCI-H3118;UNCLASSIFIED;aero_digestive_tract;head_and_neck
NCI-H3122;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H3122;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H322M;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H322M;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H345;SCLC;lung;lung_small_cell_carcinoma
NCI-H345;SCLC;lung;lung_small_cell_carcinoma
NCI-H358;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H358;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H378;SCLC;lung;lung_small_cell_carcinoma
NCI-H441;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H441;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H446;SCLC;lung;lung_small_cell_carcinoma
NCI-H446;SCLC;lung;lung_small_cell_carcinoma
NCI-H460;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H508;COREAD;digestive_system;large_intestine
NCI-H508;COREAD;digestive_system;large_intestine
NCI-H510A;SCLC;lung;lung_small_cell_carcinoma
NCI-H513;MESO;lung;mesothelioma
NCI-H513;MESO;lung;mesothelioma
NCI-H520;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H520;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H522;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H522;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H524;SCLC;lung;lung_small_cell_carcinoma
NCI-H524;SCLC;lung;lung_small_cell_carcinoma
NCI-H526;SCLC;lung;lung_small_cell_carcinoma
NCI-H526;SCLC;lung;lung_small_cell_carcinoma
NCI-H596;UNCLASSIFIED;lung;lung_NSCLC_adenocarcinoma
NCI-H596;UNCLASSIFIED;lung;lung_NSCLC_adenocarcinoma
NCI-H64;SCLC;lung;lung_small_cell_carcinoma
NCI-H64;SCLC;lung;lung_small_cell_carcinoma
NCI-H647;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H650;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H650;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H661;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H661;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H69;SCLC;lung;lung_small_cell_carcinoma
NCI-H69;SCLC;lung;lung_small_cell_carcinoma
NCI-H716;COREAD;digestive_system;large_intestine
NCI-H716;COREAD;digestive_system;large_intestine
NCI-H720;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
NCI-H720;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
NCI-H727;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
NCI-H727;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
NCI-H747;COREAD;digestive_system;large_intestine
NCI-H747;COREAD;digestive_system;large_intestine
NCI-H748;SCLC;lung;lung_small_cell_carcinoma
NCI-H810;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H810;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H82;SCLC;lung;lung_small_cell_carcinoma
NCI-H82;SCLC;lung;lung_small_cell_carcinoma
NCI-H835;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
NCI-H835;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
NCI-H838;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H841;SCLC;lung;lung_small_cell_carcinoma
NCI-H841;SCLC;lung;lung_small_cell_carcinoma
NCI-H847;SCLC;lung;lung_small_cell_carcinoma
NCI-H847;SCLC;lung;lung_small_cell_carcinoma
NCI-H929;MM;blood;myeloma
NCI-H929;MM;blood;myeloma
NCI-N87;STAD;digestive_system;stomach
NCI-N87;STAD;digestive_system;stomach
NEC8;UNCLASSIFIED;urogenital_system;testis
NEC8;UNCLASSIFIED;urogenital_system;testis
NH-12;NB;nervous_system;neuroblastoma
NH-12;NB;nervous_system;neuroblastoma
NK-92MI;UNCLASSIFIED;blood;lymphoid_neoplasm_other
NKM-1;LAML;blood;acute_myeloid_leukaemia
NKM-1;LAML;blood;acute_myeloid_leukaemia
NMC-G1;LGG;nervous_system;glioma
NOMO-1;LAML;blood;acute_myeloid_leukaemia
NOMO-1;LAML;blood;acute_myeloid_leukaemia
NOS-1;UNCLASSIFIED;bone;osteosarcoma
NOS-1;UNCLASSIFIED;bone;osteosarcoma
NTERA-2-cl-D1;UNCLASSIFIED;urogenital_system;testis
NTERA-2-cl-D1;UNCLASSIFIED;urogenital_system;testis
NU-DUL-1;DLBC;blood;B_cell_lymphoma
NUGC-3;STAD;digestive_system;stomach
NUGC-3;STAD;digestive_system;stomach
NUGC-4;STAD;digestive_system;stomach
NUGC-4;STAD;digestive_system;stomach
NY;UNCLASSIFIED;bone;osteosarcoma
NY;UNCLASSIFIED;bone;osteosarcoma
OACM5-1;ESCA;aero_digestive_tract;oesophagus
OACM5-1;ESCA;aero_digestive_tract;oesophagus
OACp4C;ESCA;aero_digestive_tract;oesophagus
OACp4C;ESCA;aero_digestive_tract;oesophagus
OAW-28;OV;urogenital_system;ovary
OAW-28;OV;urogenital_system;ovary
OAW-42;OV;urogenital_system;ovary
OAW-42;OV;urogenital_system;ovary
OC-314;OV;urogenital_system;ovary
OC-314;OV;urogenital_system;ovary
OCI-AML2;LAML;blood;acute_myeloid_leukaemia
OCI-AML2;LAML;blood;acute_myeloid_leukaemia
OCI-AML3;LAML;blood;acute_myeloid_leukaemia
OCI-AML3;LAML;blood;acute_myeloid_leukaemia
OCI-AML5;LAML;blood;acute_myeloid_leukaemia
OCI-AML5;LAML;blood;acute_myeloid_leukaemia
OCI-LY-19;DLBC;blood;B_cell_lymphoma
OCI-LY7;DLBC;blood;B_cell_lymphoma
OCI-M1;LAML;blood;acute_myeloid_leukaemia
OCI-M1;LAML;blood;acute_myeloid_leukaemia
OCUB-M;BRCA;breast;breast
OCUB-M;BRCA;breast;breast
OCUM-1;STAD;digestive_system;stomach
OCUM-1;STAD;digestive_system;stomach
OE19;ESCA;aero_digestive_tract;oesophagus
OE19;ESCA;aero_digestive_tract;oesophagus
OE21;ESCA;aero_digestive_tract;oesophagus
OE21;ESCA;aero_digestive_tract;oesophagus
OE33;ESCA;aero_digestive_tract;oesophagus
OE33;ESCA;aero_digestive_tract;oesophagus
OMC-1;CESC;urogenital_system;cervix
ONS-76;MB;nervous_system;medulloblastoma
ONS-76;MB;nervous_system;medulloblastoma
OPM-2;MM;blood;myeloma
OPM-2;MM;blood;myeloma
OS-RC-2;KIRC;kidney;kidney
OS-RC-2;KIRC;kidney;kidney
OSC-19;HNSC;aero_digestive_tract;head_and_neck
OSC-20;HNSC;aero_digestive_tract;head_and_neck
OSC-20;HNSC;aero_digestive_tract;head_and_neck
OV-17R;OV;urogenital_system;ovary
OV-56;OV;urogenital_system;ovary
OV-56;OV;urogenital_system;ovary
OV-7;OV;urogenital_system;ovary
OV-90;OV;urogenital_system;ovary
OV-90;OV;urogenital_system;ovary
OVCA420;OV;urogenital_system;ovary
OVCA420;OV;urogenital_system;ovary
OVCA433;OV;urogenital_system;ovary
OVCAR-3;OV;urogenital_system;ovary
OVCAR-3;OV;urogenital_system;ovary
OVCAR-4;OV;urogenital_system;ovary
OVCAR-4;OV;urogenital_system;ovary
OVCAR-5;OV;urogenital_system;ovary
OVCAR-5;OV;urogenital_system;ovary
OVCAR-8;OV;urogenital_system;ovary
OVCAR-8;OV;urogenital_system;ovary
OVISE;OV;urogenital_system;ovary
OVISE;OV;urogenital_system;ovary
OVK-18;OV;urogenital_system;ovary
OVK-18;OV;urogenital_system;ovary
OVKATE;OV;urogenital_system;ovary
OVKATE;OV;urogenital_system;ovary
OVMIU;OV;urogenital_system;ovary
OVMIU;OV;urogenital_system;ovary
OVTOKO;OV;urogenital_system;ovary
OVTOKO;OV;urogenital_system;ovary
P12-ICHIKAWA;ALL;blood;lymphoblastic_T_cell_leukaemia
P12-ICHIKAWA;ALL;blood;lymphoblastic_T_cell_leukaemia
P30-OHK;ALL;blood;lymphoblastic_leukemia
P30-OHK;ALL;blood;lymphoblastic_leukemia
P31-FUJ;LAML;blood;acute_myeloid_leukaemia
P31-FUJ;LAML;blood;acute_myeloid_leukaemia
P32-ISH;UNCLASSIFIED;blood;Burkitt_lymphoma
P32-ISH;UNCLASSIFIED;blood;Burkitt_lymphoma
PA-1;UNCLASSIFIED;urogenital_system;ovary
PA-1;UNCLASSIFIED;urogenital_system;ovary
PA-TU-8902;PAAD;pancreas;pancreas
PA-TU-8902;PAAD;pancreas;pancreas
PA-TU-8988T;PAAD;pancreas;pancreas
PA-TU-8988T;PAAD;pancreas;pancreas
PANC-02-03;PAAD;pancreas;pancreas
PANC-02-03;PAAD;pancreas;pancreas
PANC-03-27;PAAD;pancreas;pancreas
PANC-03-27;PAAD;pancreas;pancreas
PANC-04-03;PAAD;pancreas;pancreas
PANC-04-03;PAAD;pancreas;pancreas
PANC-08-13;PAAD;pancreas;pancreas
PANC-08-13;PAAD;pancreas;pancreas
PANC-10-05;PAAD;pancreas;pancreas
PANC-10-05;PAAD;pancreas;pancreas
PC-14;LUAD;lung;lung_NSCLC_adenocarcinoma
PC-14;LUAD;lung;lung_NSCLC_adenocarcinoma
PC-3;PRAD;urogenital_system;prostate
PC-3;PRAD;urogenital_system;prostate
PC-3_[JPC-3];LUAD;lung;lung_NSCLC_adenocarcinoma
PC-3_[JPC-3];LUAD;lung;lung_NSCLC_adenocarcinoma
PCI-15A;HNSC;aero_digestive_tract;head_and_neck
PCI-30;HNSC;aero_digestive_tract;head_and_neck
PCI-30;HNSC;aero_digestive_tract;head_and_neck
PCI-38;HNSC;aero_digestive_tract;head_and_neck
PCI-4B;HNSC;aero_digestive_tract;head_and_neck
PCI-4B;HNSC;aero_digestive_tract;head_and_neck
PCI-6A;HNSC;aero_digestive_tract;head_and_neck
PE-CA-PJ15;HNSC;aero_digestive_tract;head_and_neck
PEO1;OV;urogenital_system;ovary
PEO1;OV;urogenital_system;ovary
PF-382;ALL;blood;lymphoblastic_T_cell_leukaemia
PF-382;ALL;blood;lymphoblastic_T_cell_leukaemia
PFSK-1;MB;nervous_system;medulloblastoma
PFSK-1;MB;nervous_system;medulloblastoma
PL-21;LAML;blood;acute_myeloid_leukaemia
PL18;PAAD;pancreas;pancreas
PL18;PAAD;pancreas;pancreas
PL4;PAAD;pancreas;pancreas
PL4;PAAD;pancreas;pancreas
PSN1;PAAD;pancreas;pancreas
PSN1;PAAD;pancreas;pancreas
PWR-1E;PRAD;urogenital_system;prostate
PWR-1E;PRAD;urogenital_system;prostate
QGP-1;UNCLASSIFIED;pancreas;pancreas
QGP-1;UNCLASSIFIED;pancreas;pancreas
QIMR-WIL;LAML;blood;acute_myeloid_leukaemia
RC-K8;DLBC;blood;B_cell_lymphoma
RC-K8;DLBC;blood;B_cell_lymphoma
RCC-AB;KIRC;kidney;kidney
RCC-ER;KIRC;kidney;kidney
RCC-FG2;KIRC;kidney;kidney
RCC-JF;KIRC;kidney;kidney
RCC-JW;KIRC;kidney;kidney
RCC-JW;KIRC;kidney;kidney
RCC-MF;KIRC;kidney;kidney
RCC10RGB;KIRC;kidney;kidney
RCC10RGB;KIRC;kidney;kidney
RCH-ACV;UNCLASSIFIED;blood;B_cell_leukemia
RCM-1;COREAD;digestive_system;large_intestine
RCM-1;COREAD;digestive_system;large_intestine
RD;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
RD;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
REH;UNCLASSIFIED;blood;B_cell_leukemia
REH;UNCLASSIFIED;blood;B_cell_leukemia
RERF-GC-1B;STAD;digestive_system;stomach
RERF-GC-1B;STAD;digestive_system;stomach
RERF-LC-KJ;LUAD;lung;lung_NSCLC_adenocarcinoma
RERF-LC-KJ;LUAD;lung;lung_NSCLC_adenocarcinoma
RERF-LC-MS;LUAD;lung;lung_NSCLC_adenocarcinoma
RERF-LC-Sq1;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
RERF-LC-Sq1;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
RF-48;STAD;digestive_system;stomach
RF-48;STAD;digestive_system;stomach
RH-1;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
RH-1;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
RH-18;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
RH-41;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
RH-41;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
RKN;UNCLASSIFIED;urogenital_system;ovary
RKN;UNCLASSIFIED;urogenital_system;ovary
RKO;COREAD;digestive_system;large_intestine
RKO;COREAD;digestive_system;large_intestine
RL;DLBC;blood;B_cell_lymphoma
RL95-2;UNCLASSIFIED;urogenital_system;endometrium
RL95-2;UNCLASSIFIED;urogenital_system;endometrium
RMG-I;UNCLASSIFIED;urogenital_system;ovary
RMG-I;UNCLASSIFIED;urogenital_system;ovary
RO82-W-1;THCA;thyroid;thyroid
RO82-W-1;THCA;thyroid;thyroid
ROS-50;UNCLASSIFIED;blood;B_cell_leukemia
RPMI-2650;HNSC;aero_digestive_tract;head_and_neck
RPMI-6666;UNCLASSIFIED;blood;Hodgkin_lymphoma
RPMI-6666;UNCLASSIFIED;blood;Hodgkin_lymphoma
RPMI-7951;SKCM;skin;melanoma
RPMI-7951;SKCM;skin;melanoma
RPMI-8226;MM;blood;myeloma
RPMI-8226;MM;blood;myeloma
RPMI-8402;ALL;blood;lymphoblastic_T_cell_leukaemia
RPMI-8402;ALL;blood;lymphoblastic_T_cell_leukaemia
RPMI-8866;LCML;blood;chronic_myeloid_leukaemia
RPMI-8866;LCML;blood;chronic_myeloid_leukaemia
RS4-11;ALL;blood;leukemia
RS4-11;ALL;blood;leukemia
RT-112;BLCA;urogenital_system;bladder
RT-112;BLCA;urogenital_system;bladder
RT4;BLCA;urogenital_system;bladder
RT4;BLCA;urogenital_system;bladder
RVH-421;SKCM;skin;melanoma
RXF393;KIRC;kidney;kidney
RXF393;KIRC;kidney;kidney
Raji;UNCLASSIFIED;blood;Burkitt_lymphoma
Raji;UNCLASSIFIED;blood;Burkitt_lymphoma
Ramos-2G6-4C10;UNCLASSIFIED;blood;Burkitt_lymphoma
Ramos-2G6-4C10;UNCLASSIFIED;blood;Burkitt_lymphoma
SAS;HNSC;aero_digestive_tract;head_and_neck
SAS;HNSC;aero_digestive_tract;head_and_neck
SAT;HNSC;aero_digestive_tract;head_and_neck
SAT;HNSC;aero_digestive_tract;head_and_neck
SBC-1;SCLC;lung;lung_small_cell_carcinoma
SBC-3;SCLC;lung;lung_small_cell_carcinoma
SBC-3;SCLC;lung;lung_small_cell_carcinoma
SBC-5;SCLC;lung;lung_small_cell_carcinoma
SBC-5;SCLC;lung;lung_small_cell_carcinoma
SC-1;;blood;B_cell_lymphoma
SCC-15;HNSC;aero_digestive_tract;head_and_neck
SCC-15;HNSC;aero_digestive_tract;head_and_neck
SCC-25;HNSC;aero_digestive_tract;head_and_neck
SCC-3;DLBC;blood;B_cell_lymphoma
SCC-3;DLBC;blood;B_cell_lymphoma
SCC-4;HNSC;aero_digestive_tract;head_and_neck
SCC-4;HNSC;aero_digestive_tract;head_and_neck
SCC-9;HNSC;aero_digestive_tract;head_and_neck
SCC-9;HNSC;aero_digestive_tract;head_and_neck
SCC90;HNSC;aero_digestive_tract;head_and_neck
SCC90;HNSC;aero_digestive_tract;head_and_neck
SCH;UNCLASSIFIED;digestive_system;stomach
SF126;GBM;nervous_system;glioma
SF268;GBM;nervous_system;glioma
SF268;GBM;nervous_system;glioma
SF295;GBM;nervous_system;glioma
SF539;LGG;nervous_system;glioma
SF539;LGG;nervous_system;glioma
SH-4;SKCM;skin;melanoma
SH-4;SKCM;skin;melanoma
SHP-77;SCLC;lung;lung_small_cell_carcinoma
SHP-77;SCLC;lung;lung_small_cell_carcinoma
SIG-M5;LAML;blood;acute_myeloid_leukaemia
SIMA;NB;nervous_system;neuroblastoma
SIMA;NB;nervous_system;neuroblastoma
SISO;CESC;urogenital_system;cervix
SISO;CESC;urogenital_system;cervix
SJRH30;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
SJRH30;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
SJSA-1;UNCLASSIFIED;bone;bone_other
SJSA-1;UNCLASSIFIED;bone;bone_other
SK-CO-1;COREAD;digestive_system;large_intestine
SK-CO-1;COREAD;digestive_system;large_intestine
SK-ES-1;UNCLASSIFIED;bone;ewings_sarcoma
SK-ES-1;UNCLASSIFIED;bone;ewings_sarcoma
SK-GT-2;STAD;digestive_system;stomach
SK-GT-2;STAD;digestive_system;stomach
SK-GT-4;ESCA;aero_digestive_tract;oesophagus
SK-GT-4;ESCA;aero_digestive_tract;oesophagus
SK-HEP-1;LIHC;digestive_system;liver
SK-HEP-1;LIHC;digestive_system;liver
SK-LMS-1;UNCLASSIFIED;soft_tissue;soft_tissue_other
SK-LMS-1;UNCLASSIFIED;soft_tissue;soft_tissue_other
SK-LU-1;LUAD;lung;lung_NSCLC_adenocarcinoma
SK-LU-1;LUAD;lung;lung_NSCLC_adenocarcinoma
SK-MEL-1;SKCM;skin;melanoma
SK-MEL-1;SKCM;skin;melanoma
SK-MEL-2;SKCM;skin;melanoma
SK-MEL-2;SKCM;skin;melanoma
SK-MEL-24;SKCM;skin;melanoma
SK-MEL-24;SKCM;skin;melanoma
SK-MEL-28;SKCM;skin;melanoma
SK-MEL-3;SKCM;skin;melanoma
SK-MEL-30;SKCM;skin;melanoma
SK-MEL-31;SKCM;skin;melanoma
SK-MEL-5;SKCM;skin;melanoma
SK-MEL-5;SKCM;skin;melanoma
SK-MES-1;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
SK-MES-1;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
SK-MG-1;GBM;nervous_system;glioma
SK-MG-1;GBM;nervous_system;glioma
SK-MM-2;MM;blood;myeloma
SK-MM-2;MM;blood;myeloma
SK-N-AS;NB;nervous_system;neuroblastoma
SK-N-AS;NB;nervous_system;neuroblastoma
SK-N-DZ;NB;nervous_system;neuroblastoma
SK-N-DZ;NB;nervous_system;neuroblastoma
SK-N-FI;NB;nervous_system;neuroblastoma
SK-N-FI;NB;nervous_system;neuroblastoma
SK-N-SH;NB;nervous_system;neuroblastoma
SK-N-SH;NB;nervous_system;neuroblastoma
SK-OV-3;OV;urogenital_system;ovary
SK-OV-3;OV;urogenital_system;ovary
SK-PN-DW;UNCLASSIFIED;bone;ewings_sarcoma
SK-PN-DW;UNCLASSIFIED;bone;ewings_sarcoma
SK-UT-1;UNCLASSIFIED;soft_tissue;soft_tissue_other
SK-UT-1;UNCLASSIFIED;soft_tissue;soft_tissue_other
SKG-IIIa;CESC;urogenital_system;cervix
SKG-IIIa;CESC;urogenital_system;cervix
SKM-1;UNCLASSIFIED;blood;haematopoietic_neoplasm_other
SKM-1;UNCLASSIFIED;blood;haematopoietic_neoplasm_other
SKN;UNCLASSIFIED;urogenital_system;uterus
SKN;UNCLASSIFIED;urogenital_system;uterus
SKN-3;HNSC;aero_digestive_tract;head_and_neck
SKN-3;HNSC;aero_digestive_tract;head_and_neck
SLVL;DLBC;blood;B_cell_lymphoma
SLVL;DLBC;blood;B_cell_lymphoma
SN12C;KIRC;kidney;kidney
SN12C;KIRC;kidney;kidney
SNB75;GBM;nervous_system;glioma
SNG-M;UCEC;urogenital_system;endometrium
SNG-M;UCEC;urogenital_system;endometrium
SNU-1;STAD;digestive_system;stomach
SNU-1;STAD;digestive_system;stomach
SNU-1040;COREAD;digestive_system;large_intestine
SNU-1040;COREAD;digestive_system;large_intestine
SNU-16;STAD;digestive_system;stomach
SNU-16;STAD;digestive_system;stomach
SNU-175;COREAD;digestive_system;large_intestine
SNU-175;COREAD;digestive_system;large_intestine
SNU-182;LIHC;digestive_system;liver
SNU-182;LIHC;digestive_system;liver
SNU-387;LIHC;digestive_system;liver
SNU-387;LIHC;digestive_system;liver
SNU-398;LIHC;digestive_system;liver
SNU-398;LIHC;digestive_system;liver
SNU-407;COREAD;digestive_system;large_intestine
SNU-407;COREAD;digestive_system;large_intestine
SNU-423;LIHC;digestive_system;liver
SNU-423;LIHC;digestive_system;liver
SNU-449;LIHC;digestive_system;liver
SNU-449;LIHC;digestive_system;liver
SNU-475;LIHC;digestive_system;liver
SNU-5;STAD;digestive_system;stomach
SNU-5;STAD;digestive_system;stomach
SNU-61;COREAD;digestive_system;large_intestine
SNU-61;COREAD;digestive_system;large_intestine
SNU-81;COREAD;digestive_system;large_intestine
SNU-81;COREAD;digestive_system;large_intestine
SNU-C1;COREAD;digestive_system;large_intestine
SNU-C1;COREAD;digestive_system;large_intestine
SNU-C2B;COREAD;digestive_system;large_intestine
SNU-C2B;COREAD;digestive_system;large_intestine
SNU-C5;COREAD;digestive_system;large_intestine
SNU-C5;COREAD;digestive_system;large_intestine
SR;UNCLASSIFIED;blood;lymphoid_neoplasm_other
SR;UNCLASSIFIED;blood;lymphoid_neoplasm_other
ST486;UNCLASSIFIED;blood;Burkitt_lymphoma
ST486;UNCLASSIFIED;blood;Burkitt_lymphoma
STS-0421;UNCLASSIFIED;soft_tissue;soft_tissue_other
SU-DHL-1;UNCLASSIFIED;blood;anaplastic_large_cell_lymphoma
SU-DHL-10;DLBC;blood;B_cell_lymphoma
SU-DHL-10;DLBC;blood;B_cell_lymphoma
SU-DHL-16;DLBC;blood;B_cell_lymphoma
SU-DHL-4;DLBC;blood;B_cell_lymphoma
SU-DHL-5;DLBC;blood;B_cell_lymphoma
SU-DHL-5;DLBC;blood;B_cell_lymphoma
SU-DHL-6;DLBC;blood;B_cell_lymphoma
SU-DHL-6;DLBC;blood;B_cell_lymphoma
SU-DHL-8;DLBC;blood;B_cell_lymphoma
SU-DHL-8;DLBC;blood;B_cell_lymphoma
SU8686;PAAD;pancreas;pancreas
SU8686;PAAD;pancreas;pancreas
SUIT-2;PAAD;pancreas;pancreas
SUIT-2;PAAD;pancreas;pancreas
SUP-B15;ALL;blood;lymphoblastic_leukemia
SUP-B15;ALL;blood;lymphoblastic_leukemia
SUP-B8;UNCLASSIFIED;blood;B_cell_leukemia
SUP-HD1;UNCLASSIFIED;blood;Hodgkin_lymphoma
SUP-HD1;UNCLASSIFIED;blood;Hodgkin_lymphoma
SUP-M2;UNCLASSIFIED;blood;anaplastic_large_cell_lymphoma
SUP-M2;UNCLASSIFIED;blood;anaplastic_large_cell_lymphoma
SUP-T1;ALL;blood;lymphoblastic_T_cell_leukaemia
SUP-T1;ALL;blood;lymphoblastic_T_cell_leukaemia
SW1088;GBM;nervous_system;glioma
SW1088;GBM;nervous_system;glioma
SW1116;COREAD;digestive_system;large_intestine
SW1116;COREAD;digestive_system;large_intestine
SW1271;SCLC;lung;lung_small_cell_carcinoma
SW1271;SCLC;lung;lung_small_cell_carcinoma
SW13;ACC;kidney;adrenal_gland
SW13;ACC;kidney;adrenal_gland
SW1417;COREAD;digestive_system;large_intestine
SW1417;COREAD;digestive_system;large_intestine
SW1463;COREAD;digestive_system;large_intestine
SW1463;COREAD;digestive_system;large_intestine
SW156;KIRC;kidney;kidney
SW1573;LUAD;lung;lung_NSCLC_adenocarcinoma
SW1573;LUAD;lung;lung_NSCLC_adenocarcinoma
SW1710;BLCA;urogenital_system;bladder
SW1710;BLCA;urogenital_system;bladder
SW1783;LGG;nervous_system;glioma
SW1783;LGG;nervous_system;glioma
SW1990;PAAD;pancreas;pancreas
SW1990;PAAD;pancreas;pancreas
SW48;COREAD;digestive_system;large_intestine
SW48;COREAD;digestive_system;large_intestine
