Cell_line;Tissue sub-type;Count;
CGTH-W-1;THCA;thyroid;thyroid
CGTH-W-1;THCA;thyroid;thyroid
CHL-1;SKCM;skin;melanoma
CHL-1;SKCM;skin;melanoma
CHP-126;NB;nervous_system;neuroblastoma
CHP-134;NB;nervous_system;neuroblastoma
CHP-134;NB;nervous_system;neuroblastoma
CHP-212;NB;nervous_system;neuroblastoma
CHP-212;NB;nervous_system;neuroblastoma
CHSA0011;UNCLASSIFIED;bone;chondrosarcoma
CHSA0108;UNCLASSIFIED;bone;chondrosarcoma
CHSA8926;UNCLASSIFIED;bone;chondrosarcoma
CHSA8926;UNCLASSIFIED;bone;chondrosarcoma
CL-11;COREAD;digestive_system;large_intestine
CL-11;COREAD;digestive_system;large_intestine
CL-34;COREAD;digestive_system;large_intestine
CL-34;COREAD;digestive_system;large_intestine
CL-40;COREAD;digestive_system;large_intestine
CL-40;COREAD;digestive_system;large_intestine
CMK;LAML;blood;acute_myeloid_leukaemia
CML-T1;LCML;blood;chronic_myeloid_leukaemia
CML-T1;LCML;blood;chronic_myeloid_leukaemia
COLO-205;COREAD;digestive_system;large_intestine
COLO-205;COREAD;digestive_system;large_intestine
COLO-320-HSR;COREAD;digestive_system;large_intestine
COLO-320-HSR;COREAD;digestive_system;large_intestine
COLO-668;SCLC;lung;lung_small_cell_carcinoma
COLO-668;SCLC;lung;lung_small_cell_carcinoma
COLO-678;COREAD;digestive_system;large_intestine
COLO-678;COREAD;digestive_system;large_intestine
COLO-679;SKCM;skin;melanoma
COLO-679;SKCM;skin;melanoma
COLO-680N;ESCA;aero_digestive_tract;oesophagus
COLO-680N;ESCA;aero_digestive_tract;oesophagus
COLO-684;UCEC;urogenital_system;endometrium
COLO-684;UCEC;urogenital_system;endometrium
COLO-783;SKCM;skin;melanoma
COLO-792;SKCM;skin;melanoma
COLO-792;SKCM;skin;melanoma
COLO-800;SKCM;skin;melanoma
COLO-824;BRCA;breast;breast
COLO-824;BRCA;breast;breast
COLO-829;SKCM;skin;melanoma
COLO-829;SKCM;skin;melanoma
COR-L105;LUAD;lung;lung_NSCLC_adenocarcinoma
COR-L105;LUAD;lung;lung_NSCLC_adenocarcinoma
COR-L23;UNCLASSIFIED;lung;lung_NSCLC_large_cell
COR-L23;UNCLASSIFIED;lung;lung_NSCLC_large_cell
COR-L279;SCLC;lung;lung_small_cell_carcinoma
COR-L279;SCLC;lung;lung_small_cell_carcinoma
COR-L303;SCLC;lung;lung_small_cell_carcinoma
COR-L311;SCLC;lung;lung_small_cell_carcinoma
